1590622800000,137.0,9192.1,9208.1,9186.0,9195.9,8135.0,9198.8606637984019668100799016594960049170251997541
1590623100000,95.0,9198.0,9215.9,9192.0,9192.2,6982.0,9209.5068891435118877112575193354339730736178745345
1590623400000,54.0,9194.0,9199.5,9177.7,9191.7,1384.0,9189.9361994219653179190751445086705202312138728324
1590623700000,86.0,9193.9,9218.0,9190.1,9218.0,3966.0,9206.3912506303580433686333837619768028240040342915
1590624000000,125.0,9217.7,9222.4,9192.0,9202.0,8048.0,9208.2599527833001988071570576540755467196819085487
1590624300000,78.0,9202.9,9202.9,9180.0,9189.8,3816.0,9187.8124213836477987421383647798742138364779874214
1590624600000,55.0,9190.0,9206.9,9188.1,9204.9,2099.0,9195.5777513101476893758932825154835636017151024297
1590624900000,87.0,9203.5,9213.9,9200.0,9211.7,5322.0,9205.5258737316798196166854565952649379932356257046
1590625200000,48.0,9210.0,9210.0,9196.4,9196.4,2886.0,9202.6003118503118503118503118503118503118503118503
1590625500000,63.0,9198.5,9212.0,9198.5,9210.0,2527.0,9204.6730906212900672734467748318163830629204590423
1590625800000,48.0,9211.8,9211.8,9193.8,9198.5,1058.0,9198.6168241965973534971644612476370510396975425331
1590626100000,46.0,9198.0,9201.7,9192.0,9200.9,1664.0,9196.8994591346153846153846153846153846153846153846
1590626400000,62.0,9201.5,9213.9,9199.8,9208.7,4526.0,9209.7199513919575784357048166151126822801590808661
1590626700000,53.0,9210.1,9211.0,9192.0,9199.5,2281.0,9199.3807540552389302937308198158702323542306006138
1590627000000,43.0,9199.6,9205.9,9194.3,9196.5,1559.0,9199.5737010904425914047466324567030147530468248877
1590627300000,360.0,9196.3,9308.0,9196.2,9283.8,28917.0,9267.6950513538748832866479925303454715219421101774
1590627600000,199.0,9281.3,9298.0,9252.0,9256.4,17783.0,9274.2906764887814204577405387167519541134791654951
1590627900000,89.0,9256.0,9263.3,9240.0,9250.3,5941.0,9255.5741962632553442181450934186163945463726645346
1590628200000,71.0,9250.6,9261.5,9247.5,9257.2,5571.0,9254.2397056183809010949560222581224196733082031951
1590628500000,54.0,9257.2,9269.5,9244.5,9269.5,2461.0,9254.0119869971556277935798455912230800487606663958
1590628800000,41.0,9268.1,9268.1,9260.5,9261.0,2255.0,9263.7137472283813747228381374722838137472283813747
1590629100000,52.0,9262.2,9262.2,9240.2,9245.3,3756.0,9243.9439829605963791267305644302449414270500532481
1590629400000,70.0,9245.7,9252.0,9230.0,9230.0,3029.0,9247.4749752393529217563552327500825354902608121492
1590629700000,44.0,9232.0,9246.4,9232.0,9245.8,3182.0,9240.5602765556253928346951602765556253928346951603
1590630000000,21.0,9242.2,9247.9,9240.0,9240.4,932.0,9242.1497854077253218884120171673819742489270386266
1590630300000,31.0,9240.2,9247.9,9240.0,9240.0,1762.0,9243.1224177071509648127128263337116912599318955732
1590630600000,48.0,9238.0,9239.9,9233.5,9233.5,1209.0,9236.2799834574028122415219189412737799834574028122
1590630900000,32.0,9232.6,9238.9,9226.8,9228.6,1116.0,9232.0872759856630824372759856630824372759856630824
1590631200000,70.0,9226.0,9235.9,9216.0,9234.1,2798.0,9223.7543245175125089349535382416011436740528949249
1590631500000,43.0,9234.3,9242.0,9233.2,9234.1,1792.0,9234.9258928571428571428571428571428571428571428571
1590631800000,37.0,9234.0,9234.0,9215.7,9217.8,2027.0,9223.8156882091761223482979773063640848544647261963
1590632100000,91.0,9218.0,9224.0,9196.0,9203.0,5275.0,9207.5491374407582938388625592417061611374407582938
1590632400000,168.0,9203.9,9207.5,9172.0,9185.6,12076.0,9189.152070221927790659158661808545876117919841007
1590632700000,51.0,9185.6,9197.9,9184.5,9196.0,3561.0,9192.0207806795843864083122718337545633249087335018
1590633000000,74.0,9194.3,9207.6,9188.0,9191.1,2669.0,9197.6355938553765455226676657924316223304608467591
1590633300000,55.0,9191.8,9207.7,9189.2,9203.6,2812.0,9200.1704480796586059743954480796586059743954480797
